,Ticker,Name,Last Sale,Net Change,% Change,Market Cap
220,EOG,"EOG Resources, Inc. Common Stock",$114.67,4.24,3.84%,"64,217,779,502"
221,COR,"Cencora, Inc. Common Stock",$329.97,-31.78,-8.785%,"64,179,081,188"
222,AJG,Arthur J. Gallagher & Co. Common Stock,$249.55,1.82,0.735%,"64,084,440,000"
223,AEP,"American Electric Power Company, Inc. Common Stock",$119.98,-0.69,-0.572%,"64,080,661,709"
224,SPG,"Simon Property Group, Inc. Common Stock",$195.59,6.17,3.257%,"63,854,279,035"
225,SU,Suncor Energy  Inc. Common Stock,$53.14,-0.32,-0.599%,"63,835,311,747"
226,APD,"Air Products and Chemicals, Inc. Common Stock",$286.59,8.63,3.105%,"63,810,985,333"
227,WPM,Wheaton Precious Metals Corp Common Shares (Canada),$140.23,3.45,2.522%,"63,667,468,180"
228,LHX,"L3Harris Technologies, Inc. Common Stock",$339.07,-12.50,-3.555%,"63,424,008,832"
229,TEL,TE Connectivity plc Ordinary Shares,$215.79,-10.56,-4.665%,"63,320,181,771"
230,MFC,Manulife Financial Corporation Common Stock,$37.48,-0.58,-1.524%,"63,153,303,765"
231,ET,Energy Transfer LP Common Units,$18.37,-0.04,-0.217%,"63,071,316,508"
232,SE,"Sea Limited American Depositary Shares, each representing one Class A Ordinary Share",$106.26,-1.94,-1.793%,"62,908,038,187"
233,MRVL,"Marvell Technology, Inc. Common Stock",$73.73,-1.81,-2.396%,"62,530,413,000"
234,PSX,Phillips 66 Common Stock,$154.69,6.60,4.457%,"62,327,870,373"
235,TRP,TC Energy Corporation Common Stock,$59.29,-0.13,-0.219%,"61,720,890,000"
236,AZO,"AutoZone, Inc. Common Stock","$3,720.50",48.89,1.332%,"61,640,578,031"
237,ROST,"Ross Stores, Inc. Common Stock",$189.27,-1.85,-0.968%,"61,218,421,523"
238,CNI,Canadian National Railway Company Common Stock,$99.01,2.48,2.569%,"60,940,655,000"
239,FTNT,"Fortinet, Inc. Common Stock",$81.12,1.82,2.295%,"60,324,734,034"
240,VLO,Valero Energy Corporation Common Stock,$197.41,5.14,2.673%,"60,211,933,094"
241,MDLN,Medline Inc. Class A Common Stock,$44.97,0.25,0.559%,"59,600,341,797"
242,AFL,AFLAC Incorporated Common Stock,$113.62,1.58,1.41%,"59,549,823,250"
243,BDX,"Becton, Dickinson and Company Common Stock",$207.87,1.37,0.663%,"59,329,954,196"
244,MPC,Marathon Petroleum Corporation Common Stock,$195.92,8.34,4.446%,"58,894,037,686"
245,NET,"Cloudflare, Inc. Class A Common Stock",$166.88,-3.43,-2.014%,"58,454,920,815"
246,BKR,Baker Hughes Company Class A Common Stock,$59.17,1.17,2.017%,"58,387,410,598"
247,O,Realty Income Corporation Common Stock,$62.46,1.00,1.627%,"57,457,314,082"
248,DLR,"Digital Realty Trust, Inc. Common Stock",$166.79,2.34,1.423%,"57,292,623,858"
249,NXPI,NXP Semiconductors N.V. Common Stock,$226.86,6.20,2.81%,"57,094,870,491"
250,DLR,"Digital Realty Trust, Inc. Common Stock",$164.45,-0.66,-0.40%,"56,488,830,226"
251,MPC,Marathon Petroleum Corporation Common Stock,$187.58,10.67,6.031%,"56,387,013,011"
252,SOMN,Southern Company (The) 2025 Series A Corporate Units,$51.15,0.72,1.428%,"56,321,512,719"
253,MPLX,MPLX LP Common Units Representing Limited Partner Interests,$55.27,-0.05,-0.09%,"56,213,190,951"
254,MPWR,"Monolithic Power Systems, Inc. Common Stock","$1,164.83",-8.39,-0.715%,"55,803,510,810"
255,RELX,RELX PLC PLC American Depositary Shares (Each representing One Ordinary Share),$30.51,-5.02,-14.129%,"55,649,553,372"
256,NXPI,NXP Semiconductors N.V. Common Stock,$220.66,-10.42,-4.509%,"55,534,488,771"
257,ELVR,Elevra Lithium Limited American Depository Shares,$48.06,2.06,4.478%,"55,477,080,624"
258,CCJ,Cameco Corporation Common Stock,$126.15,5.94,4.941%,"54,926,612,982"
259,GWW,"W.W. Grainger, Inc. Common Stock","$1,155.00",58.82,5.366%,"54,919,484,235"
260,TAK,Takeda Pharmaceutical Company Limited American Depositary Shares (each representing 1/2 of a share of Common Stock),$17.43,-0.06,-0.343%,"54,857,426,660"
261,F,Ford Motor Company Common Stock,$13.73,-0.08,-0.579%,"54,707,165,311"
262,ZTS,Zoetis Inc. Class A Common Stock,$122.41,-2.53,-2.025%,"53,945,256,326"
263,FAST,Fastenal Company Common Stock,$46.34,1.54,3.438%,"53,199,975,311"
264,IMO,Imperial Oil Limited Common Stock,$106.86,4.04,3.929%,"53,163,811,740"
265,ALL,Allstate Corporation (The) Common Stock,$201.77,1.01,0.503%,"52,799,518,223"
266,AME,"AMETEK, Inc.",$228.92,1.20,0.527%,"52,698,270,607"
267,D,"Dominion Energy, Inc. Common Stock",$61.43,1.40,2.332%,"52,455,892,606"
268,ARGX,argenx SE American Depositary Shares,$851.72,16.04,1.919%,"51,947,132,724"
269,FERG,Ferguson Enterprises Inc. Common Stock,$257.65,2.71,1.063%,"51,890,467,036"
270,VST,Vistra Corp. Common Stock,$153.00,-1.26,-0.817%,"51,840,299,970"
271,DEO,Diageo plc Common Stock,$93.11,1.12,1.218%,"51,825,318,831"
272,CAH,"Cardinal Health, Inc. Common Stock",$218.00,-0.93,-0.425%,"51,795,719,156"
273,CMG,"Chipotle Mexican Grill, Inc. Common Stock",$39.17,0.66,1.714%,"51,793,629,260"
274,CARR,Carrier Global Corporation Common Stock,$61.20,0.84,1.392%,"51,543,238,597"
275,MET,"MetLife, Inc. Common Stock",$78.01,1.11,1.443%,"51,400,138,085"
276,IDXX,"IDEXX Laboratories, Inc. Common Stock",$642.94,10.38,1.641%,"51,339,614,110"
277,BRKRP,"Bruker Corporation 6.375% Mandatory Convertible Preferred Stock, Series A",$334.87,-0.28,-0.084%,"50,880,530,891"
